player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
P010444,010444,matthew-costello,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/matthew-costello/profile/010444/,MATTHEW,COSTELLO,208,Center,Ivory Coast,1993-08-05T00:00:00,PAM,Valencia Basket,ok
P007121,007121,bryce-cotton,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/bryce-cotton/profile/007121/,BRYCE,COTTON,185,Guard,United States of America,1992-08-11T00:00:00,IST,Anadolu Efes Istanbul,ok
PLVW,LVW,david-cournooh,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/david-cournooh/profile/LVW/,DAVID,COURNOOH,187,Guard,Italy,1990-07-28T00:00:00,SIE,Montepaschi Siena,ok
P012017,012017,ambroise-couture,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/ambroise-couture/profile/012017/,AMBROISE,COUTURE,198,Forward,France,2002-11-08T00:00:00,MCO,AS Monaco,ok
PJDZ,JDZ,filip-covic,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/filip-covic/profile/JDZ/,FILIP,COVIC,180,Guard,Serbia,1989-06-05T00:00:00,RED,Crvena Zvezda mts Belgrade,ok
P001829,001829,ryvon-covile,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/ryvon-covile/profile/001829/,RYVON,COVILE,206,Center,United States of America,1984-03-01T00:00:00,ORL,Entente Orleanaise,ok
P001156,001156,john-cox,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/john-cox/profile/001156/,JOHN,COX,194,Guard,United States of America,1981-07-06T00:00:00,NAN,SLUC Nancy,ok
P006468,006468,aaron-craft,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/aaron-craft/profile/006468/,AARON,CRAFT,188,Guard,United States of America,1991-02-12T00:00:00,BUD,Buducnost VOLI Pogdorica,ok
P010254,010254,drew-crawford,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/drew-crawford/profile/010254/,DREW,CRAWFORD,196,Forward,United States of America,1990-10-18T00:00:00,MIL,AX Armani Exchange Milan,ok
P007916,007916,tony-crocker,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/tony-crocker/profile/007916/,TONY,CROCKER,198,Forward,United States of America,1987-01-17T00:00:00,KHI,Khimki Moscow Region,ok
PTGO,TGO,andrea-crosariol,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/andrea-crosariol/profile/TGO/,ANDREA,CROSARIOL,0,,Italy,1984-11-11T00:00:00,VIR,Virtus Segafredo Bologna,ok
PLVZ,LVZ,stefano-crotta,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/stefano-crotta/profile/LVZ/,STEFANO,CROTTA,208,Forward,Italy,1990-10-21T00:00:00,SIE,Montepaschi Siena,ok
P002868,002868,michael-crowell,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/michael-crowell/profile/002868/,MICHAEL,CROWELL,202,Forward,United States of America,1985-12-09T00:00:00,BAM,Brose Baskets Bamberg,ok
PBUZ,BUZ,povilas-cukinas,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/povilas-cukinas/profile/BUZ/,POVILAS,CUKINAS,210,Center,Lithuania,1983-04-11T00:00:00,ZAL,Zalgiris Kaunas,ok
P005971,005971,randy-culpepper,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/randy-culpepper/profile/005971/,RANDY,CULPEPPER,183,Guard,United States of America,1989-05-16T00:00:00,LMG,Limoges CSP,ok
